id;preparacao;energia;proteina;lipidio; carboidrato;fibra;colesterol;agsaturado;agmono;agpoli;aglinoleico;aglinolenico;agtranstotal;acucartotal;acucaradicao;calcio;magnesio;manganes;fosforo;ferro;sodio;sodioadicao;potassio;cobre;zinco;selenio;retinol;vitamina_a;tiamina;riboflavina;niacina;niacina_ne;piridoxina;cobalamina;folato;vitamina_d;vitamina_e;vitamina_c
1;6300101;99;135,62;2,50;1,20;27,78;1,55;0,00;0,35;0,22;0,56;0,56;0,07;0,01;0,00;0,00;3,51;2,23;0,29;17,77;0,08;1,19;382,00;14,53;0,01;0,49;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00
2;6300201;99;130,95;2,56;1,97;25,56;2,72;0,00;0,45;0,62;0,86;0,80;0,08;0,01;0,00;0,00;5,15;58,13;0,62;104,82;0,26;1,23;282,00;74,42;0,02;0,68;0,45;0,00;0,00;0,08;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,08;0,00
3;6300701;1;160,14;3,32;7,18;25,11;4,25;0,00;1,12;1,72;4,01;3,59;0,42;0,03;3,16;0,00;3,15;26,01;0,16;75,00;0,45;244,96;245,00;212,05;0,05;0,61;2,90;0,00;13,17;0,22;0,07;1,61;2,00;0,06;0,00;46,00;0,00;0,57;6,20
